tweet_id,tweet_text,fear_intensity,anger_intensity,happiness_intensity,sadness_intensity,emotion
1.22211E+18,"French Health Minister Agnes Buzyn said on Tuesday there were currently between 500 and 1,000 French nationals in the Chinese city of Wuhan, the epicentre of the coronavirus outbreak - Reuters",0.519,0.419,0.286,0.43,no specific emotion
1.22211E+18,Did China downplay the coronavirus outbreak early on? No. President Xi is a great leader. President Ci and China Communist are never wrong. Long Live President Xi. https://t.co/a7Hezbyv4A via @voxdotcom,0.406,0.339,0.354,0.322,happiness
1.22212E+18,"@ayoma_k WHAT RUBBISH DOES THIS HATEFUL WOMAN POST ??? 
COME ON..BACK IT UP WITH SOME PROOF INSTEAD OF MISLEADING PEOPLE WITH YOUR BULLSHIT STORIES  !!! 

Status of Sri Lankans residing in Wuhan, China – Update January Ministry of Foreign Affairs Sri Lanka https://t.co/sqL4PyyOZb",0.468,0.744,0.112,0.586,anger
1.22214E+18,@thevivafrei @rfedortsov This is how they will create another virus like the corona.,0.474,0.426,0.24,0.355,fear
1.22215E+18,"Corona virus realtime map

https://t.co/s8tQzs4hbe",0.409,0.446,0.174,0.385,anger
1.22218E+18,I feel like people on twitter are too brave and a whole different specie like nothing affects us anymore....WW3 -memes ..corona virus- memes climate change -memes I don't know if I should rejoice or get therapy https://t.co/eATJgttMRD,0.481,0.441,0.262,0.462,no specific emotion
1.22218E+18,Tracking the Wuhan Coronavirus : https://t.co/gcqKe33l0M https://t.co/TwpT2Hzdpv,0.486,0.351,0.298,0.367,fear
1.2222E+18,"3 &lt; ρ &lt; 5 

""Preliminary estimation of the basic reproduction number of novel #coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak"" https://t.co/Fv2Xw0g5rt",0.478,0.336,0.342,0.352,happiness
1.22221E+18,corona virus more like coreanas virus am ir right fellas?,0.419,0.489,0.238,0.422,anger
1.22221E+18,@Kinkgobernable I mean. I wouldn't doubt Corona has killed someone.,0.573,0.516,0.234,0.438,fear
1.22221E+18,"I'm so embarrased please CHECK EVERYTHING YOU READ ONLINE and I'm so sad to say this but specially if it was originally tweeted in Spanish. 

The guy made a joke about the corona virus (ugh 😒) but he never mentioned the boys this is SO embarrassing https://t.co/8F0cu694rD",0.526,0.548,0.226,0.645,sadness
1.22223E+18,"The Independent: Coronavirus: Japan and Germany confirm patients who caught disease did not visit China.
https://t.co/nfv3KDj578",0.601,0.43,0.22,0.463,fear
1.22233E+18,"#Australia Australian lab first outside of #China to re-create #coronavirus, helping vaccine push       https://t.co/7NfI8AUaAO a través de @abcnews",0.42,0.339,0.42,0.274,happiness
1.22234E+18,"Sri Lanka HM has to plan isolating / screening the 30 passengers arriving from Wuhan. 
California plans to isolate them  in a separate hanger at the airport &amp; screen passengers before isolation. 
On board they are being screened / at anchorage during a fuel stop &amp; at arrival. https://t.co/M2H7zqDIRz",0.487,0.479,0.262,0.45,fear
1.2224E+18,This is how the #Wuhan coronavirus affects the body https://t.co/4oAveWhEe0 https://t.co/p0dsBABeic #coronoavirus,0.508,0.436,0.223,0.392,fear
1.22245E+18,Coronavirus ‘rumour’ crackdown by Wuhan police slammed by China’s top court https://t.co/IBHNABsma5 https://t.co/4Ek0J3ODTv,0.483,0.471,0.315,0.393,fear
1.22249E+18,"A robot named Little Peanut is delivering food to people in quarantine amid the Wuhan coronavirus outbreak
https://t.co/Rms2EjeYJH",0.596,0.424,0.298,0.439,fear
1.22252E+18,"Wuhan coronavirus has now reached 6,000 cases worldwide https://t.co/3X4bVEJvEa",0.456,0.264,0.439,0.331,happiness
1.22252E+18,@Rhett800cc bitcoin is the way more profitable of earn Money.. always Rise up!! Problems like the corona virus and the war of irán can be make ur lose money. buy bitcoin is the most logic!! The Airlines coming soon Cancel flys to Asia .(many loses) the World economy are in recesión soon,0.477,0.507,0.31,0.438,anger
1.22253E+18,How Do Bats Live With So Many Viruses? https://t.co/eNJTvyFLFN,0.511,0.414,0.234,0.418,fear
1.22253E+18,Coronavirus live updates: Cases spread as nations pull out citizens from Wuhan - The Washington Post https://t.co/7Xt5KoNYiK,0.577,0.35,0.338,0.426,no specific emotion
1.22253E+18,Coronavirus: Australia plans island quarantine as foreigners leave Wuhan - BBC News https://t.co/qfUPyozB4M,0.664,0.463,0.248,0.47,fear
1.22256E+18,people using the corona virus as an excuse to be racist 🤡,0.524,0.632,0.136,0.467,anger
1.22256E+18,@CNN This POS can be used as test subject for studying the effects of Corona Virus.,0.547,0.461,0.164,0.44,fear
1.22257E+18,@vann1_ Corona virus for sure,0.436,0.411,0.211,0.41,fear
1.22258E+18,Bruhhh work is slow...this Corona virus has everyone scared to fly I guess,0.681,0.486,0.186,0.608,fear
1.22259E+18,"#China #Wuhan #coronavirus #Epidemic 

Viral outbreak has infected more than 6,000 people on Chinese mainland and more than a dozen other countries. British Airways suspends all flights to China as result of crisis.

https://t.co/bWuYoeoAIs",0.646,0.456,0.264,0.444,fear
1.2226E+18,"#OMS #ChinaWuHan #ChinaCoronaVirus #News #International In the last 12 hours, it seems, the spread of Wuhan Coronavirus has slowed! Only 115 new confirmed cases are reported and the death toll is maintained at 132 since last night. Recovered 112 https://t.co/cMq6ksD583",0.54,0.405,0.368,0.396,no specific emotion
1.2226E+18,"@Corona_nCoV2019 Many people are still in the hospital, so mortality can change a lot.",0.46,0.352,0.22,0.476,sadness
1.22262E+18,"@Corona_nCoV2019 @inteldotwav Yup, 200 million people in brazil",0.396,0.362,0.321,0.391,no specific emotion
1.22267E+18,It's corona time,0.284,0.31,0.433,0.327,happiness
1.22268E+18,@ethelrosso *Cof* corona virus *cof*,0.417,0.474,0.285,0.411,anger
1.22268E+18,"@op_peasant @JonZipp @as_i_decay @zerohedge @chrismartenson nCov is way deadlier than the seasonal flu , this is real.",0.49,0.447,0.303,0.418,fear
1.2227E+18,"Bats, the source of so many viruses, could be the origin of Wuhan coronavirus, say experts
https://t.co/XhADslmHsw",0.466,0.394,0.297,0.348,fear
1.22271E+18,An AI Epidemiologist Sent the 1st Warnings of the Wuhan Virus The BlueDot algorithm scours news reports and airline ticketing data to predict the spread of diseases like those linked to the flu outbreak in China. https://t.co/IJIRwJfRLF https://t.co/Y3GeGNKNk1 @DatosUBA @mirandau https://t.co/1hmL4cHJhH,0.587,0.506,0.246,0.479,fear
1.22275E+18,"Classics always comeback #corona
 https://t.co/virKob7Cqe via @YouTube",0.188,0.239,0.376,0.293,happiness
1.22275E+18,China Issues Harsh Warning to Silence Social Media Postings on Wuhan Pneumonia https://t.co/O0SdnF2FzR via @epochtimes,0.554,0.528,0.171,0.547,fear
1.22277E+18,"@NST_Online Just imagine what happening in Wuhan. Just one month, the city is already dead.... so... without proper measures, community outbreak is inevitable and they will be no need for strike. Please strike when u still can.",0.597,0.51,0.256,0.55,fear
1.22281E+18,"nCoV in Philippines

How many days until it strikes Buenos Aires?",0.555,0.406,0.251,0.44,fear
1.22282E+18,What the Coronavirus Means So Far for the Travel Industry. It has rapidly become a serious global concern after first being detected in the final days of 2019 in Wuhan. The travel industry is increasingly bracing for its impact.  https://t.co/IYtfpR0zDo vía @Skift,0.585,0.425,0.243,0.452,fear
1.22282E+18,"With this #CoronaVirus outbreak, people will now be pouring Corona into Black Label bottles. https://t.co/IwXewzIk3C",0.531,0.405,0.265,0.392,fear
1.22283E+18,"#China #Wuhan #coronavirus #Epidemic 

Viral outbreak has infected more than 6,000 people on Chinese mainland and more than a dozen other countries. British Airways suspends all flights to China as result of crisis.

https://t.co/bWuYoeGc72",0.646,0.457,0.264,0.444,fear
1.22286E+18,"English version

More info:
https://t.co/8OqYdKgLgR

#coronavirus #china #wohan #wohancoronavirus #2019-nCoV #oftalmología #OU https://t.co/VWk5mHUhw4",0.391,0.37,0.359,0.296,no specific emotion
1.22286E+18,BBC News - Coronavirus Wuhan diary: Living alone in a city gone quiet https://t.co/niq87OYXUr,0.574,0.393,0.275,0.466,fear
1.22286E+18,"The Guardian: Coronavirus: delay to evacuation flight leaves Britons stuck in Wuhan.
https://t.co/QtoeyHp95T",0.694,0.538,0.181,0.592,fear
1.22287E+18,@QuiteShallow @SkillUpYT Depending on how many are left after corona,0.42,0.417,0.309,0.463,sadness
1.22287E+18,30 Jan: Wuhan Coronavirus future projections and inflection points https://t.co/wjR9B12I6G,0.45,0.32,0.328,0.36,no specific emotion
1.22291E+18,"Hello my uncle got me candy, a phone and a Corona virus from Disney last week, I keep coughing ""dry""- but I supposedly got cured and my blood worth £80 a pint.
I also have Adderall waiting for me to pick it up but fuck it. https://t.co/hSnMavcdrv",0.461,0.48,0.327,0.457,anger
1.22292E+18,@ignCalvin corona caught yo ass,0.316,0.39,0.452,0.319,happiness
1.22292E+18,"Dr. Peter Hotez: What #Coronavirus #Wuhan means for the U.S., China and the world. https://t.co/JJmx2T48yO #FoxNews",0.437,0.306,0.327,0.358,happiness
1.22293E+18,"“Fortunately for human beings, a pathogen like 2019-nCoV cannot have its cake and eat it too.“ Great image to explain the transmission-virulence trade-off ! https://t.co/i9SdKGLG1L",0.362,0.407,0.431,0.329,happiness
1.22293E+18,Wuhan citizen plainly tells the #coronavirus situation in Wuhan &amp; seeks ... https://t.co/V5bThU0xOW via @YouTube,0.497,0.39,0.345,0.448,no specific emotion
1.22294E+18,"Update #coronarvirus
 https://t.co/2DPSgvtFKj",0.369,0.387,0.292,0.396,sadness
1.22297E+18,"Attention to the planet, its confirmation is missing but apparently it would have a formula of antidote or vaccine of the corona virus, but that its test in humans is not yet given and for its massification it would take many months, and soon that news would come out https://t.co/xvp2gG6AZr",0.523,0.516,0.205,0.454,fear
1.22298E+18,@MerryLevov Corona Beach?,0.281,0.279,0.322,0.291,no specific emotion
1.22298E+18,I think I have corona virus,0.611,0.484,0.268,0.52,fear
1.22298E+18,@SenTomCotton has tweeted about the corona virus 20 times in the last 24 hours.,0.526,0.468,0.314,0.442,fear
1.22299E+18,CM de @corona @Heineken what ya waiting? https://t.co/7lS5x1mqB9,0.298,0.35,0.355,0.308,no specific emotion
1.223E+18,"@FantasmaQuintin @Janfitwitero Guy from the UK had it since December, he just thought he had a cold and was told he had corona virus after they found out he was in wuhan and brought him in. Same  happened with a guy from Germany.",0.473,0.468,0.29,0.43,fear
1.223E+18,"@FollowThe17 @pattie95162411 Amen🙏Amen🙏
Democ🐀🐀are a Lethal Disease! Maybe Worse than this New Chinese Corona Virus🦠
In Lebanon🇱🇧there was a funny Poll asking the Revolution Patriots What/Whom Would they Choose:
The Lebanese President M.Aoun Ally to Assad/Iran or The Corona Virus!? 87% CHOSE THE VIRUS!!",0.536,0.512,0.324,0.423,fear
1.223E+18,just sneezed omg do i have corona virus???,0.625,0.502,0.294,0.536,fear
1.22302E+18,"I enrolled in the #OpenWHO course Emerging respiratory viruses, including nCoV: methods for detection, prevention, response and control https://t.co/7R3oGd2W4W",0.47,0.357,0.371,0.325,happiness
1.22302E+18,Statement on the second meeting of the International Health Regulations (2005) Emergency Committee regarding the outbreak of novel coronavirus (2019-nCoV) https://t.co/Dt606tmIPi,0.45,0.446,0.282,0.421,fear
1.22303E+18,$NNVC NanoViricides confirms it has been working on treatment for the Wuhan Corona virus.,0.537,0.42,0.229,0.404,fear
1.22304E+18,@nickkaustin Corona time,0.267,0.302,0.276,0.328,happiness
1.22305E+18,"Mapping the Wuhan Coronavirus (2019-nCoV)

https://t.co/gcqKe33l0M https://t.co/dB9Kq5LD61",0.457,0.328,0.32,0.36,no specific emotion
1.22306E+18,"@Corona_nCoV2019 @_nCOV19_ that's because u are in continuous evolution , so it's difficult for the specialists to track your growing pace",0.397,0.41,0.245,0.399,anger
1.22306E+18,"@Corona_nCoV2019 @_nCOV19_ Now are only 2 options, it was a mistake / leak , or an attack by someone",0.528,0.515,0.131,0.499,fear
1.22307E+18,"@Corona_nCoV2019 Like the Iran attack that Trump said ""nothing happens"" and ends with 62 soldiers with ""severe brain injury""? for example",0.635,0.537,0.183,0.561,fear
1.2231E+18,It seems there's a case of corona virus in my country :|,0.665,0.528,0.142,0.556,fear
1.22313E+18,bitches be spanish republicans and scared of getting corona virus bitch you worried about the wrong corona,0.63,0.685,0.187,0.573,anger
1.22316E+18,@XclusvB @pimp_maestro Ncooooo🥰🥰🥰🥰 he's so cute. Check the old baby for Corona virus 🤭,0.373,0.33,0.431,0.321,happiness
1.22317E+18,@tazz_mag @JazzelMickaela The article depicts two types of strains. The deadly China strain nCoV and the non-lethal NL63 for baby flu. Your question still stands though.,0.548,0.448,0.207,0.427,fear
1.2232E+18,"Plataforma Cursos OMS  #OpenWHO  Emerging respiratory viruses, including nCoV: methods for detection, prevention, response and control https://t.co/C5f2M9ShCs",0.412,0.373,0.326,0.307,no specific emotion
1.22321E+18,"I enrolled in the #OpenWHO course Emerging respiratory viruses, including nCoV: methods for detection, prevention, response and control https://t.co/xGUOiEMDQx",0.47,0.357,0.371,0.325,happiness
1.22322E+18,"At last
https://t.co/2YK1G2ygcY",0.345,0.372,0.404,0.524,sadness
1.22324E+18,"@antoinesaad12 😂😂🤣👏 Syria &amp; Iran invasions under different names!! Jamil el Sayed, Hassan Nasrallah, ... and all Our Officials names are included !!! Like Corona Virus🦠",0.448,0.477,0.337,0.388,anger
1.22324E+18,why Corona-chan abandoned me ;_;,0.519,0.481,0.188,0.572,sadness
